Time (s),A-output,B-output
0,0.154129,-0.019249
0.005,0.180486,-0.028046
0.01,0.169333,0.029561
0.015,0.164276,0.012556
0.02,0.147289,-0.025427
0.025,0.126537,-0.020936
0.03,0.129519,0.000185
0.035,0.136429,0.013989
0.04,0.144001,-0.007056
0.045,0.137971,-0.021754
0.05,0.150224,-0.037897
0.055,0.168402,-0.017511
0.06,0.180942,-0.022127
0.065,0.159008,-0.03881
0.07,0.139381,-0.043544
0.075,0.131569,-0.057606
0.08,0.112177,-0.05171
0.085,0.088075,-0.048465
0.09,0.064664,-0.028688
0.095,0.051505,-0.024577
0.1,0.040595,-0.029058
0.105,0.019943,0.004455
0.11,-0.000046,-0.015233
0.115,-0.02859,-0.059994
0.12,-0.025777,-0.01478
0.125,0.046128,0.039807
0.13,0.072148,0.055366
0.135,0.055217,0.02389
0.14,0.034409,-0.013791
0.145,0.038774,-0.044642
0.15,0.035696,-0.017991
0.155,-0.022437,0.034422
0.16,-0.057824,0.015785
0.165,-0.067049,0.035829
0.17,-0.062962,0.045562
0.175,-0.094243,0.073525
0.18,-0.112011,0.05808
0.185,-0.081319,0.020134
0.19,-0.061601,-0.009773
0.195,-0.064543,-0.025693
0.2,-0.101408,0.050139
0.205,-0.087616,0.101764
0.21,-0.047029,0.104641
0.215,-0.042059,0.055635
0.22,-0.080428,0.028603
0.225,-0.108716,0.061123
0.23,-0.08948,0.085272
0.235,-0.094768,0.071211
0.24,-0.119094,0.008366
0.245,-0.154306,-0.007983
0.25,-0.151611,-0.024917
0.255,-0.127264,-0.043678
0.26,-0.122709,-0.03128
0.265,-0.123138,-0.005836
0.27,-0.126813,0.053575
0.275,-0.104513,0.082474
0.28,-0.106174,0.099507
0.285,-0.116809,0.091638
0.29,-0.131041,0.084832
0.295,-0.150253,0.090729
0.3,-0.156417,0.089997
0.305,-0.163074,0.084965
0.31,-0.156608,0.082249
0.315,-0.145498,0.08087
0.32,-0.130377,0.03738
0.325,-0.113122,0.002144
0.33,-0.088914,0.022339
0.335,-0.05697,0.074222
0.34,-0.03498,0.180678
0.345,-0.036997,0.302237
0.35,-0.033483,0.27289
0.355,-0.067684,0.207858
0.36,-0.134477,0.184683
0.365,-0.16522,0.152809
0.37,-0.165095,0.138746
0.375,-0.142009,0.104639
0.38,-0.129481,0.086727
0.385,-0.082809,0.075328
0.39,0.000208,0.083121
0.395,0.07123,0.094603
0.4,0.08438,0.11828
0.405,0.090178,0.08913
0.41,0.11382,0.054574
0.415,0.10085,0.040128
0.42,0.055403,-0.013349
0.425,-0.00466,-0.0237
0.43,0.002539,-0.050681
0.435,0.018822,-0.055235
0.44,0.023883,-0.080724
0.445,0.05663,-0.103196
0.45,0.112397,-0.085421
0.455,0.184047,-0.110951
0.46,0.193171,-0.115492
0.465,0.199904,-0.180504
0.47,0.194593,-0.162577
0.475,0.175094,-0.099949
0.48,0.152205,-0.081804
0.485,0.109352,-0.032812
0.49,0.095744,-0.038638
0.495,0.094799,-0.037935
0.5,0.112282,-0.061552
0.505,0.118067,-0.062476
0.51,0.143266,-0.054889
0.515,0.177997,-0.062224
0.52,0.196263,-0.057894
0.525,0.20488,-0.073969
0.53,0.202956,-0.081731
0.535,0.193525,-0.093015
0.54,0.160093,-0.100877
0.545,0.114218,-0.108856
0.55,0.080963,-0.094379
0.555,0.065284,-0.073662
0.56,0.055461,-0.053581
